label	sha256	path
pr08-runtime-map-scale-v41-comparison-board	78c0b0c7768041c6e9455329a0d536053346d2d26a935b41f6376951daac8222	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-comparison-board.png
pr08-runtime-map-scale-v41-evidence-index	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-evidence-index.tsv
pr08-runtime-map-scale-v41-reference-map-crop	b8860c59c4482b1ddf3e726e0d7ece6a75637bcef5d4203fd2fd4733ad2eea2f	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-reference-map-crop.png
pr08-runtime-map-scale-v41-runtime-metrics	3bbc5a039b2192898f3db07c39d4099bf75cbab90fbf57ae320c3a91cfe758b0	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-runtime-metrics.json
pr08-runtime-map-scale-v41-ui-demo-new-bottom-deck-no-command-hints	f9b22db39ff64fb45768d66feccf6d6bf69ae0a69cdc77ec2432f092be429907	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-bottom-deck-no-command-hints.png
pr08-runtime-map-scale-v41-ui-demo-new-inventory-page-1	2a6931d95e18fc7449950ada456cdea9cc7ead9e64f9f0ba5ea822a9ac1bf92f	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-inventory-page-1.png
pr08-runtime-map-scale-v41-ui-demo-new-inventory-page-2	bbc3d85cc709d691f665b86b056a985055e8a944c04bc788529c582ae937359c	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-inventory-page-2.png
pr08-runtime-map-scale-v41-ui-demo-new-map-stage-crop	0ec0a8befb6787031cc4d0920c9b0e8a575e725f8fe98335db91d674716dd927	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-map-stage-crop.png
pr08-runtime-map-scale-v41-ui-demo-new-nav-rail-crop	7e85df5eaeb4dbb71f06f848c3666256fe947291889dd2082eafa7469e11fd8b	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-nav-rail-crop.png
pr08-runtime-map-scale-v41-ui-demo-new-parity-1280x800	6fb91fbf9bfa62f82228499a055f699549b57a8f3fed79fc063f04b176ea5afd	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-parity-1280x800.png
pr08-runtime-map-scale-v41-ui-demo-new-parity-1672x941	195f1881322fdacf0ce5bbe0dec7b19db193c10e68cd8fd06727afe392a3cac4	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-parity-1672x941.png
pr08-runtime-map-scale-v41-ui-demo-new-right-panel-grid	f1fd786aeac2e56a2b963f8d693679cf51680f5715716d5cfa4f6d460c720686	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-ui-demo-new-right-panel-grid.png
pr08-runtime-map-scale-v41-v40-room-closeup	104b94ef09d3d5908783bba4ca0027c022d3dba5cff4e26fe2e35e2a1ca775a3	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v40-room-closeup.png
pr08-runtime-map-scale-v41-v40-ui-demo-new-map-stage-crop	907a5fad4cb2e4facd8373722ec3f0996b4fc13db973bf24a54ef9502dc8b8a0	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v40-ui-demo-new-map-stage-crop.png
pr08-runtime-map-scale-v41-v40-ui-demo-new-parity-1672x941	4c3dfab48625812fdacc42752e91fc437b17638db0070402a72140f2ff2b3cd8	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v40-ui-demo-new-parity-1672x941.png
pr08-runtime-map-scale-v41-v41-room-closeup	040ac57839f18305c68dbaa3d6f7df191c0dd4e574ca00bfb0a23809503f03af	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v41-room-closeup.png
pr08-runtime-map-scale-v41-v41-v40-full-diff	3df11cd7351dd14532c7954307460d8cf717e8ffcde9f92dbb8a1ce35aaca2e7	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v41-v40-full-diff.png
pr08-runtime-map-scale-v41-v41-v40-map-stage-diff	dba17cc058132a0eaf229e237a8a54226039fb2d39ba30c05d38cd064dfd2817	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v41-v40-map-stage-diff.png
pr08-runtime-map-scale-v41-v41-v40-room-closeup-diff	49d24e0ead439427806bb44b488215d15fcce1315fa71116e60c4474c6b70752	UI/review/dark-uiux-pr08-exploration/runtime-map-scale-v41/pr08-runtime-map-scale-v41-v41-v40-room-closeup-diff.png
