label	sha256	path
ui-demo-new-parity-1672x941	6779e2cf6ab483533f77b0e79e96e937d18160472241fd704c211f57ca079f99	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-parity-1672x941.png
ui-demo-new-parity-1280x800	c6a2e27bfe478aa49cbe990981ca5bd2428d74f47c166d84d98f99df5dd3ede9	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-parity-1280x800.png
ui-demo-new-right-panel-grid	8de82d8abf81c34906ba60e5a8dd7545aa2e883b0c6574e100accd720df4c277	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-right-panel-grid.png
ui-demo-new-bottom-deck-no-command-hints	1d3ac3e0b3b67dea66a077aa2afa30f9b47b5bb4318e812f2894ea2534f9d02e	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-bottom-deck-no-command-hints.png
ui-demo-new-inventory-page-1	2dc2ac8cf03dba3693f5d5d6e12a68225a0debeac6e9cc6321f823b1417ddd63	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-inventory-page-1.png
ui-demo-new-inventory-page-2	230165e27de1426439671000c82b215cdf15ded3c30d6bd9db1ee32ae77a5b23	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-inventory-page-2.png
ui-demo-new-nav-rail-crop	7e85df5eaeb4dbb71f06f848c3666256fe947291889dd2082eafa7469e11fd8b	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-nav-rail-crop.png
ui-demo-new-map-stage-crop	322b36600d01b41d0fce5349edbf919503233991a086880e315f044a25285ed1	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-ui-demo-new-map-stage-crop.png
runtime-metrics	a8c39524e4a00bbbf4abf111f6a672ed813d238d96fe41cb125d1c2f0f8fb60c	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-runtime-metrics.json
comparison-board	5ee8ab824d39cbc6742ba13b994c7ec8434966cd832b4bbf11c3da1623e80d41	UI/review/dark-uiux-pr08-exploration/runtime-map-presentation-scale-v26/pr08-map-presentation-scale-v26-comparison-board.png
